RSA,RSA-CRT
5.65151509991847,4.386705300072208
5.643561700126156,4.322542699985206
5.629879399901256,4.326513400068507
5.653068899875507,4.265874800039455
5.647345799952745,4.29101760010235
5.626380300149322,4.459696399979293
5.631022700108588,4.45366430003196
5.6768906998913735,4.398823600029573
5.683562500169501,4.339271500008181
5.666643400210887,4.326401500031352
5.946902900002897,4.347424499923363
5.90188720007427,4.280605500098318
5.713830400025472,4.285477300174534
5.744818599894643,4.314895200077444
5.660463200183585,4.3289361000061035
5.625329799950123,4.294700500089675
5.627067500026897,4.356099900091067
5.764011699939147,4.309825600124896
5.818143300013617,4.298036799998954
5.744090700056404,4.297361599979922
5.723845199914649,4.352785800117999
5.698729200055823,4.325804200023413
5.666496400022879,4.502454400062561
5.6554046999663115,4.376237600110471
5.734275800175965,4.277963199885562
5.7206842000596225,4.291894800029695
5.661050800001249,4.287246000021696
5.744306000182405,4.269919699989259
5.702555899973959,4.33622490009293
5.670856399927288,4.325189099879935
5.672434699954465,4.317208400228992
5.753946399781853,4.297690400155261
5.667755000060424,4.334683099994436
5.657473800005391,4.303230099845678
5.651485800044611,4.360411599976942
5.632590200053528,4.448314199922606
5.6359857998322695,4.375158099923283
5.665219099959359,4.348968799924478
5.634833100019023,4.5868169001769274
5.6356656001880765,4.376438200008124